Hdex	Ndex	MS	Pokémon	Type
#001	#252	Treecko	Treecko	Grass
#002	#253	Grovyle	Grovyle	Grass
#003	#254	Sceptile	Sceptile	Grass
#004	#255	Torchic	Torchic	Fire
#005	#256	Combusken	Combusken	Fire	Fighting
#006	#257	Blaziken	Blaziken	Fire	Fighting
#007	#258	Mudkip	Mudkip	Water
#008	#259	Marshtomp	Marshtomp	Water	Ground
#009	#260	Swampert	Swampert	Water	Ground
#010	#261	Poochyena	Poochyena	Dark
#011	#262	Mightyena	Mightyena	Dark
#012	#263	Zigzagoon	Zigzagoon	Normal
 	#263	Zigzagoon	Zigzagoon	Dark	Normal
#013	#264	Linoone	Linoone	Normal
 	#264	Linoone	Linoone	Dark	Normal
#014	#265	Wurmple	Wurmple	Bug
#015	#266	Silcoon	Silcoon	Bug
#016	#267	Beautifly	Beautifly	Bug	Flying
#017	#268	Cascoon	Cascoon	Bug
#018	#269	Dustox	Dustox	Bug	Poison
#019	#270	Lotad	Lotad	Water	Grass
#020	#271	Lombre	Lombre	Water	Grass
#021	#272	Ludicolo	Ludicolo	Water	Grass
#022	#273	Seedot	Seedot	Grass
#023	#274	Nuzleaf	Nuzleaf	Grass	Dark
#024	#275	Shiftry	Shiftry	Grass	Dark
#025	#276	Taillow	Taillow	Normal	Flying
#026	#277	Swellow	Swellow	Normal	Flying
#027	#278	Wingull	Wingull	Water	Flying
#028	#279	Pelipper	Pelipper	Water	Flying
#029	#280	Ralts	Ralts	Psychic	Fairy
#030	#281	Kirlia	Kirlia	Psychic	Fairy
#031	#282	Gardevoir	Gardevoir	Psychic	Fairy
#032	#283	Surskit	Surskit	Bug	Water
#033	#284	Masquerain	Masquerain	Bug	Flying
#034	#285	Shroomish	Shroomish	Grass
#035	#286	Breloom	Breloom	Grass	Fighting
#036	#287	Slakoth	Slakoth	Normal
#037	#288	Vigoroth	Vigoroth	Normal
#038	#289	Slaking	Slaking	Normal
#042	#290	Nincada	Nincada	Bug	Ground
#043	#291	Ninjask	Ninjask	Bug	Flying
#044	#292	Shedinja	Shedinja	Bug	Ghost
#045	#293	Whismur	Whismur	Normal
#046	#294	Loudred	Loudred	Normal
#047	#295	Exploud	Exploud	Normal
#048	#296	Makuhita	Makuhita	Fighting
#049	#297	Hariyama	Hariyama	Fighting
#054	#298	Azurill	Azurill	Normal	Fairy
#060	#299	Nosepass	Nosepass	Rock
#061	#300	Skitty	Skitty	Normal
#062	#301	Delcatty	Delcatty	Normal
#068	#302	Sableye	Sableye	Dark	Ghost
#069	#303	Mawile	Mawile	Steel	Fairy
#070	#304	Aron	Aron	Steel	Rock
#071	#305	Lairon	Lairon	Steel	Rock
#072	#306	Aggron	Aggron	Steel	Rock
#076	#307	Meditite	Meditite	Fighting	Psychic
#077	#308	Medicham	Medicham	Fighting	Psychic
#078	#309	Electrike	Electrike	Electric
#079	#310	Manectric	Manectric	Electric
#080	#311	Plusle	Plusle	Electric
#081	#312	Minun	Minun	Electric
#086	#313	Volbeat	Volbeat	Bug
#087	#314	Illumise	Illumise	Bug
#094	#315	Roselia	Roselia	Grass	Poison
#095	#316	Gulpin	Gulpin	Poison
#096	#317	Swalot	Swalot	Poison
#097	#318	Carvanha	Carvanha	Water	Dark
#098	#319	Sharpedo	Sharpedo	Water	Dark
#099	#320	Wailmer	Wailmer	Water
#100	#321	Wailord	Wailord	Water
#101	#322	Numel	Numel	Fire	Ground
#102	#323	Camerupt	Camerupt	Fire	Ground
#105	#324	Torkoal	Torkoal	Fire
#110	#325	Spoink	Spoink	Psychic
#111	#326	Grumpig	Grumpig	Psychic
#114	#327	Spinda	Spinda	Normal
#116	#328	Trapinch	Trapinch	Ground
#117	#329	Vibrava	Vibrava	Ground	Dragon
#118	#330	Flygon	Flygon	Ground	Dragon
#119	#331	Cacnea	Cacnea	Grass
#120	#332	Cacturne	Cacturne	Grass	Dark
#121	#333	Swablu	Swablu	Normal	Flying
#122	#334	Altaria	Altaria	Dragon	Flying
#123	#335	Zangoose	Zangoose	Normal
#124	#336	Seviper	Seviper	Poison
#125	#337	Lunatone	Lunatone	Rock	Psychic
#126	#338	Solrock	Solrock	Rock	Psychic
#127	#339	Barboach	Barboach	Water	Ground
#128	#340	Whiscash	Whiscash	Water	Ground
#129	#341	Corphish	Corphish	Water
#130	#342	Crawdaunt	Crawdaunt	Water	Dark
#131	#343	Baltoy	Baltoy	Ground	Psychic
#132	#344	Claydol	Claydol	Ground	Psychic
#133	#345	Lileep	Lileep	Rock	Grass
#134	#346	Cradily	Cradily	Rock	Grass
#135	#347	Anorith	Anorith	Rock	Bug
#136	#348	Armaldo	Armaldo	Rock	Bug
